Year,Month,County_City,Sale_Count
2016 , Feb,Manassas Park City,25
2016 , Feb,Martinsville City,6
2016 , Feb,Mathews County,9
2016 , Feb,Mecklenburg County,7
2016 , Feb,Middlesex County,4
2016 , Feb,Montgomery County,63
2016 , Feb,Nelson County,17
2016 , Feb,New Kent County,19
2016 , Feb,Newport News City,141
2016 , Feb,Norfolk City,199
2016 , Feb,Northampton County,7
2016 , Feb,Northumberland County,14
2016 , Feb,Norton City,2
2016 , Feb,Nottoway County,7
2016 , Feb,Orange County,34
2016 , Feb,Page County,10
2016 , Feb,Patrick County,6
2016 , Feb,Petersburg City,18
2016 , Feb,Pittsylvania County,9
2016 , Feb,Poquoson City,8
2016 , Feb,Portsmouth City,94
2016 , Feb,Powhatan County,15
2016 , Feb,Prince Edward County,16
2016 , Feb,Prince George County,27
2016 , Feb,Prince William County,401
2016 , Feb,Pulaski County,25
2016 , Feb,Radford City,8
2016 , Feb,Rappahannock County,5
2016 , Feb,Richmond City,160
2016 , Feb,Richmond County,4
2016 , Feb,Roanoke City,62
2016 , Feb,Roanoke County,73
2016 , Feb,Rockbridge County,10
2016 , Feb,Rockingham County,45
2016 , Feb,Russell County,2
2016 , Feb,Salem City,16
2016 , Feb,Scott County,0
2016 , Feb,Shenandoah County,37
2016 , Feb,Smyth County,12
2016 , Feb,Southampton County,5
2016 , Feb,Spotsylvania County,109
2016 , Feb,Stafford County,116
2016 , Feb,Staunton City,22
2016 , Feb,Suffolk City,85
2016 , Feb,Surry County,4
2016 , Feb,Sussex County,3
2016 , Feb,Tazewell County,10
2016 , Feb,Virginia Beach City,495
2016 , Feb,Warren County,40
2016 , Feb,Washington County,21
2016 , Feb,Waynesboro City,21
2016 , Feb,Westmoreland County,8
2016 , Feb,Williamsburg City,17
2016 , Feb,Winchester City,19
2016 , Feb,Wise County,2
2016 , Feb,Wythe County,15
2016 , Feb,York County,57
2016 , Mar,Accomack County,27
2016 , Mar,Albemarle County,131
2016 , Mar,Alexandria City,212
2016 , Mar,Alleghany County,8
2016 , Mar,Amelia County,11
2016 , Mar,Amherst County,18
2016 , Mar,Appomattox County,14
2016 , Mar,Arlington County,223
2016 , Mar,Augusta County,59
2016 , Mar,Bath County,0
2016 , Mar,Bedford County,77
2016 , Mar,Bland County,1
2016 , Mar,Botetourt County,37
2016 , Mar,Bristol City,5
2016 , Mar,Brunswick County,3
2016 , Mar,Buchanan County,2
2016 , Mar,Buckingham County,9
2016 , Mar,Buena Vista City,5
2016 , Mar,Campbell County,34
2016 , Mar,Caroline County,37
2016 , Mar,Carroll County,23
2016 , Mar,Charles City County,2
2016 , Mar,Charlotte County,2
2016 , Mar,Charlottesville City,49
2016 , Mar,Chesapeake City,347
2016 , Mar,Chesterfield County,416
2016 , Mar,Clarke County,15
2016 , Mar,Colonial Heights City,11
2016 , Mar,Covington City,2
2016 , Mar,Craig County,2
2016 , Mar,Culpeper County,44
2016 , Mar,Cumberland County,8
2016 , Mar,Danville City,38
2016 , Mar,Dickenson County,1
2016 , Mar,Dinwiddie County,29
2016 , Mar,Emporia City,2
2016 , Mar,Essex County,6
2016 , Mar,Fairfax City,24
2016 , Mar,Fairfax County,1113
2016 , Mar,Falls Church City,16
2016 , Mar,Fauquier County,73
2016 , Mar,Floyd County,9
2016 , Mar,Fluvanna County,24
2016 , Mar,Franklin City,13
2016 , Mar,Franklin County,52
2016 , Mar,Frederick County,100
2016 , Mar,Fredericksburg City,27
2016 , Mar,Galax City,5
2016 , Mar,Giles County,13
2016 , Mar,Gloucester County,49
2016 , Mar,Goochland County,21
2016 , Mar,Grayson County,7
2016 , Mar,Greene County,14
2016 , Mar,Greensville County,3
2016 , Mar,Halifax County,13
2016 , Mar,Hampton City,150
2016 , Mar,Hanover County,100
2016 , Mar,Harrisonburg City,28
2016 , Mar,Henrico County,359
2016 , Mar,Henry County,35
2016 , Mar,Highland County,0
2016 , Mar,Hopewell City,25
2016 , Mar,Isle of Wight County,54
2016 , Mar,James City County,141
2016 , Mar,King and Queen County,3
2016 , Mar,King George County,13
2016 , Mar,King William County,17
2016 , Mar,Lancaster County,17
2016 , Mar,Lee County,0
2016 , Mar,Lexington City,8
2016 , Mar,Loudoun County,501
2016 , Mar,Louisa County,36
2016 , Mar,Lunenburg County,5
2016 , Mar,Lynchburg City,67
2016 , Mar,Madison County,10
2016 , Mar,Manassas City,49
2016 , Mar,Manassas Park City,16
2016 , Mar,Martinsville City,7
2016 , Mar,Mathews County,13
2016 , Mar,Mecklenburg County,8
2016 , Mar,Middlesex County,10
2016 , Mar,Montgomery County,75
2016 , Mar,Nelson County,15
2016 , Mar,New Kent County,27
2016 , Mar,Newport News City,170
2016 , Mar,Norfolk City,255
2016 , Mar,Northampton County,13
2016 , Mar,Northumberland County,17
2016 , Mar,Norton City,0
2016 , Mar,Nottoway County,9
2016 , Mar,Orange County,48
2016 , Mar,Page County,17
2016 , Mar,Patrick County,7
2016 , Mar,Petersburg City,22
2016 , Mar,Pittsylvania County,24
2016 , Mar,Poquoson City,10
2016 , Mar,Portsmouth City,141
2016 , Mar,Powhatan County,41
2016 , Mar,Prince Edward County,5
2016 , Mar,Prince George County,19
2016 , Mar,Prince William County,570
2016 , Mar,Pulaski County,20
2016 , Mar,Radford City,6
2016 , Mar,Rappahannock County,4
2016 , Mar,Richmond City,213
2016 , Mar,Richmond County,4
2016 , Mar,Roanoke City,96
2016 , Mar,Roanoke County,123
2016 , Mar,Rockbridge County,23
2016 , Mar,Rockingham County,57
2016 , Mar,Russell County,9
2016 , Mar,Salem City,25
2016 , Mar,Scott County,1
2016 , Mar,Shenandoah County,46
2016 , Mar,Smyth County,9
2016 , Mar,Southampton County,10
2016 , Mar,Spotsylvania County,147
2016 , Mar,Stafford County,178
2016 , Mar,Staunton City,29
2016 , Mar,Suffolk City,130
2016 , Mar,Surry County,5
2016 , Mar,Sussex County,4
2016 , Mar,Tazewell County,10
2016 , Mar,Virginia Beach City,557
2016 , Mar,Warren County,45
2016 , Mar,Washington County,17
2016 , Mar,Waynesboro City,19
2016 , Mar,Westmoreland County,16
2016 , Mar,Williamsburg City,11
2016 , Mar,Winchester City,26
2016 , Mar,Wise County,1
2016 , Mar,Wythe County,23
2016 , Mar,York County,75
2016 , Apr,Accomack County,42
2016 , Apr,Albemarle County,135
2016 , Apr,Alexandria City,232
2016 , Apr,Alleghany County,9
2016 , Apr,Amelia County,14
2016 , Apr,Amherst County,19
2016 , Apr,Appomattox County,17
2016 , Apr,Arlington County,272
2016 , Apr,Augusta County,79
2016 , Apr,Bath County,1
2016 , Apr,Bedford County,112
2016 , Apr,Bland County,5
2016 , Apr,Botetourt County,34
2016 , Apr,Bristol City,2
2016 , Apr,Brunswick County,4
2016 , Apr,Buchanan County,0
2016 , Apr,Buckingham County,14
2016 , Apr,Buena Vista City,9
2016 , Apr,Campbell County,49
2016 , Apr,Caroline County,43
2016 , Apr,Carroll County,21
2016 , Apr,Charles City County,4
2016 , Apr,Charlotte County,6
2016 , Apr,Charlottesville City,43
2016 , Apr,Chesapeake City,357
2016 , Apr,Chesterfield County,492
2016 , Apr,Clarke County,27
2016 , Apr,Colonial Heights City,24
2016 , Apr,Covington City,1
2016 , Apr,Craig County,3
2016 , Apr,Culpeper County,61
2016 , Apr,Cumberland County,12
2016 , Apr,Danville City,39
2016 , Apr,Dickenson County,1
2016 , Apr,Dinwiddie County,26
2016 , Apr,Emporia City,0
2016 , Apr,Essex County,7
2016 , Apr,Fairfax City,29
2016 , Apr,Fairfax County,1486
2016 , Apr,Falls Church City,13
2016 , Apr,Fauquier County,91
2016 , Apr,Floyd County,14
2016 , Apr,Fluvanna County,31
2016 , Apr,Franklin City,7
2016 , Apr,Franklin County,48
2016 , Apr,Frederick County,112
2016 , Apr,Fredericksburg City,27
2016 , Apr,Galax City,7
2016 , Apr,Giles County,9
2016 , Apr,Gloucester County,54
2016 , Apr,Goochland County,39
